Year,Month,Quarter,PoliceStation,CrimeCount
2014,9,2014 Q3,Carterton,27
2014,9,2014 Q3,Cheviot,3
2014,9,2014 Q3,Christchurch,166
2014,9,2014 Q3,Christchurch Airport,2
2014,9,2014 Q3,Christchurch South,108
2014,9,2014 Q3,Clinton,2
2014,9,2014 Q3,Coromandel,14
2014,9,2014 Q3,Cromwell,11
2014,9,2014 Q3,Culverden,4
2014,9,2014 Q3,Dannevirke,30
2014,9,2014 Q3,Darfield,10
2014,9,2014 Q3,Dargaville,23
2014,9,2014 Q3,Dunedin Central,67
2014,9,2014 Q3,Dunedin North,40
2014,9,2014 Q3,Dunedin South,58
2014,9,2014 Q3,Edgecumbe,16
2014,9,2014 Q3,Eketahuna,6
2014,9,2014 Q3,Eltham,13
2014,9,2014 Q3,Fairlie,1
2014,9,2014 Q3,Featherston,29
2014,9,2014 Q3,Feilding,50
2014,9,2014 Q3,Fitzroy CPC,29
2014,9,2014 Q3,Flaxmere,40
2014,9,2014 Q3,Foxton,30
2014,9,2014 Q3,Geraldine,8
2014,9,2014 Q3,Gisborne,136
2014,9,2014 Q3,Glen Innes,89
2014,9,2014 Q3,Glenfield,102
2014,9,2014 Q3,Gore,28
2014,9,2014 Q3,Granity,1
2014,9,2014 Q3,Green Island,7
2014,9,2014 Q3,Greymouth,36
2014,9,2014 Q3,Greytown,4
2014,9,2014 Q3,Hamilton Central,251
2014,9,2014 Q3,Hamilton East,101
2014,9,2014 Q3,Hanmer Springs,7
2014,9,2014 Q3,Hastings,122
2014,9,2014 Q3,Havelock,5
2014,9,2014 Q3,Havelock North,21
2014,9,2014 Q3,Hawera,32
2014,9,2014 Q3,Helensville,29
2014,9,2014 Q3,Henderson,194
2014,9,2014 Q3,Highbury,42
2014,9,2014 Q3,Hikurangi,9
2014,9,2014 Q3,Hokitika,11
2014,9,2014 Q3,Hornby,121
2014,9,2014 Q3,Houhora,7
2014,9,2014 Q3,Howick,94
2014,9,2014 Q3,Hunterville,1
2014,9,2014 Q3,Huntly,48
2014,9,2014 Q3,Inglewood,13
2014,9,2014 Q3,Invercargill Central,101
2014,9,2014 Q3,Johnsonville,50
2014,9,2014 Q3,Kaeo,11
2014,9,2014 Q3,Kaiapoi,31
2014,9,2014 Q3,Kaikohe,38
2014,9,2014 Q3,Kaikorai Valley,41
2014,9,2014 Q3,Kaikoura,18
2014,9,2014 Q3,Kaitaia,57
2014,9,2014 Q3,Kamo CPC,33
2014,9,2014 Q3,Kapiti,65
2014,9,2014 Q3,Karamea,4
2014,9,2014 Q3,Katikati,31
2014,9,2014 Q3,Kawakawa,24
2014,9,2014 Q3,Kawerau,34
2014,9,2014 Q3,Kawhia,6
2014,9,2014 Q3,Kerikeri,22
2014,9,2014 Q3,Kilbirnie,55
2014,9,2014 Q3,Kimbolton,1
2014,9,2014 Q3,Kohukohu,5
2014,9,2014 Q3,Kotemaori,3
2014,9,2014 Q3,Kumeu/Huapai,27
2014,9,2014 Q3,Kurow,4
2014,9,2014 Q3,Lake Tekapo,1
2014,9,2014 Q3,Lawrence,1
2014,9,2014 Q3,Leeston,8
2014,9,2014 Q3,Levin,62
2014,9,2014 Q3,Lincoln,14
2014,9,2014 Q3,Linton,19
2014,9,2014 Q3,Lower Hutt,101
2014,9,2014 Q3,Lyttelton,10
2014,9,2014 Q3,Manaia,5
2014,9,2014 Q3,Mangakino,3
2014,9,2014 Q3,Mangawhai,6
2014,9,2014 Q3,Mangere,130
2014,9,2014 Q3,Mangonui,16
2014,9,2014 Q3,Manurewa,218
2014,9,2014 Q3,Manutuke,13
2014,9,2014 Q3,Martinborough,4
2014,9,2014 Q3,Marton,26
2014,9,2014 Q3,Massey,76
2014,9,2014 Q3,Masterton,87
2014,9,2014 Q3,Matamata,44
2014,9,2014 Q3,Mataura,11
2014,9,2014 Q3,Matawai,1
2014,9,2014 Q3,Maungaturoto,8
2014,9,2014 Q3,Methven,6
2014,9,2014 Q3,Milton,9
2014,9,2014 Q3,Mokau,2
2014,9,2014 Q3,Morrinsville,26
2014,9,2014 Q3,Mosgiel,21
2014,9,2014 Q3,Motueka,31
2014,9,2014 Q3,Mount Maunganui,63
2014,9,2014 Q3,Mount Wellington,83
2014,9,2014 Q3,Murchison,3
2014,9,2014 Q3,Murupara,19
2014,9,2014 Q3,Naenae,71
2014,9,2014 Q3,Napier,127
2014,9,2014 Q3,National Park,2
2014,9,2014 Q3,Nelson Central,103
2014,9,2014 Q3,New Brighton,82
2014,9,2014 Q3,New Lynn,90
2014,9,2014 Q3,New Plymouth Central,22
2014,9,2014 Q3,Newmarket,87
2014,9,2014 Q3,Ngaruawahia,35
2014,9,2014 Q3,Ngatea,7
2014,9,2014 Q3,Norsewood,2
2014,9,2014 Q3,North Shore Policing Centre,83
2014,9,2014 Q3,Nuhaka,2
2014,9,2014 Q3,Oamaru,23
2014,9,2014 Q3,Ohai,3
2014,9,2014 Q3,Ohakune,12
2014,9,2014 Q3,Okato,5
2014,9,2014 Q3,Omakau,1
2014,9,2014 Q3,Onehunga,95
2014,9,2014 Q3,Onerahi CPC,15
2014,9,2014 Q3,Opotiki,36
2014,9,2014 Q3,Opunake,12
2014,9,2014 Q3,Orewa,58
2014,9,2014 Q3,Ormiston,141
2014,9,2014 Q3,Otahuhu,160
2014,9,2014 Q3,Otaki,25
2014,9,2014 Q3,Otautau,13
2014,9,2014 Q3,Otorohanga,22
2014,9,2014 Q3,Owaka,4
2014,9,2014 Q3,Oxford,10
2014,9,2014 Q3,Paeroa,36
2014,9,2014 Q3,Pahiatua,11
2014,9,2014 Q3,Paihia,14
2014,9,2014 Q3,Palmerston,6
