Police_station,address
Te Kuiti Police Station,"
            62 Carroll St,Te Kuiti,Waikato West"
Te Puke Police Station,"
            20 Station Rd,Te Puke"
Te Teko,"
            35 SH 30,Te Teko,Te Teko"
Temuka Police Station,"
            20 Domain Av,Temuka"
Thames Police Station,"
            404A Queen St,Thames"
Timaru Central Police Station,"
            20 North St,Timaru"
Tokomaru Bay Police Station,"
            8 Tokomaru St,Tokomaru Bay"
Tokoroa Police Station,"
            33 Logan St,Tokoroa"
Tolaga Bay Police Station,"
            13 Monkhouse St,Tolaga Bay"
Tuai Police Station,"
            63 Hill St,Tuai"
Tuakau Police Station,"
            5 St Stephens Av,Tuakau"
Tuatapere Police Station,"
            17 Orawia Rd,Tuatapere"
Turangi Police Station,"
            4 Ohuanga Rd,Turangi"
Twizel Police Station,"
            23 Tasman Rd,Twizel"
Upper Hutt Police Station,"
            863 Fergusson Dr,Upper Hutt, 5018"
Victim Support Groups Inc.,"
            National Office, 180 Molesworth Street,WELLINGTON"
Waiheke Island Police Station,"
            104 Ocean View Rd,Oneroa,Waiheke Island"
Waihi Police Station,"
            55 Kenny St,Waihi"
Waikari Police Station,"
            32 Princes St,Waikari,North Canterbury"
Waikato District Headquarters,"
            12 Anzac Parade (formerly Bridge St),Hamilton Central,HAMILTON"
Waikouaiti Police Station,"
            3 Court St,Waikouaiti"
Waimate Police Station,"
            53 Queen St,Waimate"
Wainuiomata Police Station,"
            3 Fitzherbert Rd,Wainuiomata,Lower Hutt"
Waiouru Police Station,"
            Cnr State Highway 1 and State Highway 49,Waiouru"
Waipu Police Station,"
            8 Cove Rd,Waipu"
Waipukurau Police Station,"
            16 Northumberland St,Waipukurau"
Wairoa Police Station,"
            72 Queen St,Wairoa"
Waitakere Police Station,"
            7 Buscomb Av,Henderson,Auckland"
Waitangirua Police Station,"
            212 Warspite Avenue,Waitangirua,Porirua"
Waitara Police Station,"
            23 Domett St,Waitara"
Waitemata District Headquarters,"
            7 Buscomb Ave,Henderson"
Waiuku Police Station,"
            3 Court St,Waiuku"
Wakefield Police Station,"
            9 Clifford Rd,Wakefield"
Wanaka Police Station,"
            5 Ballantyne Road,Wanaka,Wanaka"
Warkworth Police Station,"
            6 Falls St,Warkworth"
Waverley Police Station,"
            64 Weraroa Rd,Waverley"
Wellington Central Police Station,"
            41 Victoria St,Wellington"
Wellington International Airport Police Station,"
            Stewart Duff Drive, Miramar,Rongotai,Wellington"
Wellington Maritime Unit,"
            Service Jetty, Waterloo Quay,Pipitea,Wellington"
Wellington Regional Information and Technology Service Centre,"
            21 King Street,Wellington"
Wellsford Police Station,"
            108 Rodney St,Wellsford"
Westown Police Station,"
            54 Tukapa St,Westown,New Plymouth"
Westport Police Station,"
            13 Wakefield St,Westport"
Whakatane Police Station,"
            62-70 Boon St,Whakatane"
Whakatane Prosecutions,"
            62-70 Boon St,Whakatane,Whakatane"
Whangamata Police Station,"
            102 Hetherington Rd,Whangamata"
Whanganui Central Police Station,"
            1D Bell St,Wanganui"
Whangaparaoa Police Station,"
            716 Whangaparaoa Rd,Manly,Whangaparaoa"
Whangarei Central Police Station,"
            88 Cameron Street,Whangarei"
Whitianga Police Station,"
            3 Campbell St,Whitianga"
Winton Police Station,"
            297 Great North Rd,Winton"
Woodville Police Station,"
            96 Vogel St,Woodville"
Wyndham Police Station,"
            1 Balaclava St,Wyndham"
